iter	Passed	Remaining
872	129876	8479
873	130020	8330
874	130170	8182
875	130321	8033
876	130453	7883
877	130591	7734
878	130733	7585
879	130870	7435
880	131024	7287
881	131164	7138
882	131327	6990
883	131468	6841
884	131614	6692
885	131766	6543
886	131913	6394
887	132065	6246
888	132203	6097
889	132342	5947
890	132479	5798
891	132628	5650
892	132779	5501
893	132996	5355
894	133142	5206
895	133269	5057
896	133410	4908
897	133550	4759
898	133691	4610
899	133836	4461
900	133986	4312
901	134141	4164
902	134298	4015
903	134435	3866
904	134572	3717
905	134717	3568
906	134850	3419
907	134995	3270
908	135146	3122
909	135288	2973
910	135424	2824
911	135564	2675
912	135715	2527
913	135858	2378
914	135992	2229
915	136141	2080
916	136283	1932
917	136437	1783
918	136592	1634
919	136723	1486
920	136859	1337
921	137001	1188
922	137137	1040
923	137277	891
924	137426	742
925	137569	594
926	137728	445
927	137871	297
928	138040	148
929	138252	0
